City_ID,City,City latitude,City longitude,Max temperature,Humidity,Cloud coverage,Wind speed,City country,City datetime
0,Punta Arenas,-53.15,-70.9167,30.31,86,0,8.05,CL,1660208147
1,Harper,4.375,-7.7169,76.62,78,100,7.2,LR,1660207956
2,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,45.03,96,94,5.35,AR,1660208148
3,Fortuna,40.5982,-124.1573,61.99,66,100,0.0,US,1660208150
4,Tuatapere,-46.1333,167.6833,35.33,90,7,3.67,NZ,1660208151
5,Bangarapet,12.9667,78.2,83.21,51,90,23.82,IN,1660208152
6,Khatanga,71.9667,102.5,46.13,56,100,11.07,RU,1660208153
7,Radom,51.4025,21.1471,76.12,54,9,4.0,PL,1660208153
8,Thompson,55.7435,-97.8558,46.56,100,0,0.0,CA,1660208155
9,Rikitea,-23.1203,-134.9692,73.2,73,100,22.06,PF,1660208156
10,Puerto Ayora,-0.7393,-90.3518,67.55,98,100,10.51,EC,1660208157
11,Salalah,17.0151,54.0924,80.15,84,100,11.16,OM,1660208158
12,Karabulak,43.3036,44.8964,81.59,36,0,4.63,RU,1660208159
13,San Quintín,30.4833,-115.95,71.26,84,65,8.14,MX,1660208160
14,Bilma,18.6853,12.9164,100.0,10,31,15.37,NE,1660208161
15,Kroya,-7.6331,109.2461,80.29,83,59,11.97,ID,1660208164
16,Castro,-24.7911,-50.0119,42.8,97,59,4.05,BR,1660207982
17,Jamestown,42.097,-79.2353,64.71,72,0,6.91,US,1660207914
18,Takhtamygda,54.1,123.5667,58.1,95,100,2.98,RU,1660208166
19,New Norfolk,-42.7826,147.0587,53.1,76,91,3.0,AU,1660208167
20,Bluff,-46.6,168.3333,39.97,78,7,10.27,NZ,1660208168
21,Faya,18.3851,42.4509,81.12,39,81,7.34,SA,1660208168
22,Chui,-33.6971,-53.4616,48.07,94,23,1.72,UY,1660207872
23,Busselton,-33.65,115.3333,58.86,69,47,1.36,AU,1660208170
24,Port Alfred,-33.5906,26.891,63.18,84,100,1.99,ZA,1660208055
25,Ushuaia,-54.8,-68.3,33.46,93,75,2.3,AR,1660207888
26,Butaritari,3.0707,172.7902,81.86,72,38,14.47,KI,1660208172
27,Hilo,19.7297,-155.09,82.27,97,100,4.61,US,1660207882
28,Ribeira Grande,38.5167,-28.7,72.0,78,20,2.3,PT,1660208174
29,Constitución,-35.3333,-72.4167,46.22,83,0,5.77,CL,1660208174
30,Russell,32.3502,-85.1999,72.68,94,40,3.44,US,1660208102
31,Qurayyat,31.3318,37.3428,86.18,42,0,13.8,SA,1660208176
32,Athabasca,54.7169,-113.2854,59.63,89,0,3.47,CA,1660208177
33,Klaksvík,62.2266,-6.589,52.72,78,100,11.79,FO,1660208178
34,Mogadishu,2.0371,45.3438,82.27,74,40,19.57,SO,1660208178
35,Nome,64.5011,-165.4064,49.15,95,71,3.56,US,1660208059
36,Pinega,64.7001,43.3936,65.14,61,100,11.1,RU,1660208180
37,Torbay,47.6666,-52.7314,57.58,92,100,9.22,CA,1660208181
38,Arraial do Cabo,-22.9661,-42.0278,66.47,79,25,40.69,BR,1660208182
39,Clyde River,70.4692,-68.5914,34.03,100,100,9.22,CA,1660208183
40,Mossamedes,-15.1961,12.1522,59.63,94,100,10.36,AO,1660208184
41,Yangi Marg`ilon,40.4272,71.7189,88.52,23,39,9.22,UZ,1660208185
42,Hermanus,-34.4187,19.2345,59.81,78,98,6.89,ZA,1660208186
43,Kahului,20.8947,-156.47,78.84,87,16,7.0,US,1660208187
44,Hobart,-42.8794,147.3294,53.46,82,75,6.91,AU,1660208188
45,Fort Nelson,58.8053,-122.7002,60.39,72,100,13.8,CA,1660207992
46,Sitka,57.0531,-135.33,55.89,96,99,3.38,US,1660208189
47,Port Elizabeth,-33.918,25.5701,65.1,80,40,3.44,ZA,1660208190
48,Gardner,42.5751,-71.9981,64.4,92,67,1.63,US,1660208094
49,São Filipe,14.8961,-24.4956,77.59,79,45,9.55,CV,1660207954
50,Tondon,10.3667,-13.35,77.68,92,98,1.32,GN,1660208193
51,Saint Paul Harbor,57.79,-152.4072,54.91,94,100,8.05,US,1660207961
52,Portland,45.5234,-122.6762,64.33,87,0,4.61,US,1660207833
53,The Pas,53.8251,-101.2541,51.82,93,0,9.22,CA,1660208255
54,Atuona,-9.8,-139.0333,77.0,70,9,22.37,PF,1660208256
55,Moro,26.6646,68.0016,106.68,31,78,17.47,PK,1660208257
56,Albany,42.6001,-73.9662,63.41,86,76,3.18,US,1660207842
57,San Rafael,-34.6177,-68.3301,46.08,49,0,1.95,AR,1660208259
58,Srīvardhan,18.0333,73.0167,81.39,85,100,22.79,IN,1660208261
59,Vrangel',42.7297,133.0839,71.92,90,76,3.22,RU,1660208262
60,Stromness,58.965,-3.296,58.96,83,94,3.0,GB,1660208263
61,Methóni,36.8197,21.7049,92.21,54,5,8.01,GR,1660208264
62,Moose Factory,51.2585,-80.6094,51.78,82,100,11.5,CA,1660208265
63,Mindelo,16.8901,-24.9804,76.55,78,20,14.97,CV,1660208266
64,Barrow,71.2906,-156.7887,40.84,94,51,17.74,US,1660208267
65,Cayenne,4.9333,-52.3333,77.09,1,75,0.0,GF,1660208268
66,Coquimbo,-29.9533,-71.3436,49.73,100,100,2.3,CL,1660207996
67,Pochutla,15.7432,-96.4661,76.82,91,100,3.24,MX,1660208269
68,Vila Velha,-20.3297,-40.2925,73.35,72,0,5.75,BR,1660208075
69,Saint-Augustin,51.226,-58.6502,54.23,95,0,4.7,CA,1660208271
70,Katsuura,35.1333,140.3,81.55,86,63,21.99,JP,1660208272
71,São João da Barra,-21.6403,-41.0511,65.14,43,79,12.01,BR,1660207955
72,Yellowknife,62.456,-114.3525,54.12,62,75,15.01,CA,1660208254
73,Sorong,-0.8833,131.25,81.28,76,85,2.66,ID,1660208018
74,Hong Kong,22.2855,114.1577,80.96,92,74,7.0,HK,1660208204
75,Kununurra,-15.7667,128.7333,87.78,22,2,6.91,AU,1660208212
76,Lagoa,39.05,-27.9833,70.47,70,9,3.06,PT,1660208277
77,Avarua,-21.2078,-159.775,71.65,83,75,10.36,CK,1660208278
78,Mar del Plata,-38.0023,-57.5575,46.87,95,100,8.05,AR,1660208279
79,Zeya,53.75,127.2667,63.88,86,83,2.44,RU,1660208280
80,Kaitangata,-46.2817,169.8464,36.32,89,42,6.8,NZ,1660208281
81,Severo-Kuril'sk,50.6789,156.125,57.0,90,88,6.98,RU,1660208039
82,Bambous Virieux,-20.3428,57.7575,73.65,56,40,18.41,MU,1660208282
83,Dikson,73.5069,80.5464,42.33,97,100,13.09,RU,1660208283
84,Vaini,-21.2,-175.2,71.76,94,75,12.66,TO,1660208284
85,Nemuro,43.3236,145.575,67.33,96,100,10.54,JP,1660208285
86,Zyryanka,65.75,150.85,72.37,43,100,13.11,RU,1660208286
87,East London,-33.0153,27.9116,61.74,82,20,9.22,ZA,1660208287
88,Saskylakh,71.9167,114.0833,49.75,61,100,13.69,RU,1660208288
89,Hirara,24.8,125.2833,88.07,70,20,8.05,JP,1660207953
90,Rocha,-34.4833,-54.3333,42.94,91,20,3.24,UY,1660208101
91,Caravelas,-17.7125,-39.2481,66.36,83,66,6.82,BR,1660208291
92,Lithgow,-33.4833,150.15,45.01,92,97,5.12,AU,1660208292
93,San Patricio,28.017,-97.5169,84.88,80,100,6.04,US,1660208293
94,Altea,38.5989,-0.0514,88.38,60,0,9.35,ES,1660208294
95,Isangel,-19.55,169.2667,69.3,62,1,14.76,VU,1660208295
96,Tuktoyaktuk,69.4541,-133.0374,46.13,89,100,12.35,CA,1660208296
97,Geraldton,-28.7667,114.6,66.61,52,0,10.36,AU,1660208297
98,Kapaa,22.0752,-159.319,77.11,86,77,4.0,US,1660208297
99,Puerto Carreño,6.189,-67.4859,72.66,97,100,4.52,CO,1660208298
100,Krasnosel'kup,65.7,82.4667,61.79,40,72,10.51,RU,1660208299
101,Mahébourg,-20.4081,57.7,73.69,56,40,18.41,MU,1660208360
102,Raudeberg,61.9875,5.1352,56.07,91,100,19.75,NO,1660208361
103,Grand Gaube,-20.0064,57.6608,73.8,59,60,11.99,MU,1660208362
104,Carnarvon,-24.8667,113.6333,71.87,31,0,10.09,AU,1660208363
105,Waipawa,-41.4122,175.5153,41.61,83,90,6.4,NZ,1660208364
106,Alice Springs,-23.7,133.8833,53.15,82,96,8.05,AU,1660208298
107,Olafsvik,64.8945,-23.7142,50.79,77,88,13.2,IS,1660208367
108,Bredasdorp,-34.5322,20.0403,60.19,74,100,2.71,ZA,1660208368
109,Polovinnoye,54.7914,65.9864,81.36,43,8,3.15,RU,1660208368
110,Newport,51.5877,-2.9984,81.09,53,0,8.19,GB,1660207870
111,Dingle,10.9995,122.6711,83.1,82,55,1.21,PH,1660208370
112,Mizdah,31.4451,12.9801,84.52,31,0,1.14,LY,1660208371
113,Haines Junction,60.7522,-137.5108,46.85,95,98,1.52,CA,1660208372
114,Pevek,69.7008,170.3133,40.82,97,57,7.87,RU,1660207969
115,Kaeng Khoi,14.5862,100.9976,77.54,89,100,6.44,TH,1660208217
116,Tongliao,43.6125,122.2653,79.39,49,0,7.43,CN,1660208375
117,Rome,43.2128,-75.4557,61.66,96,26,0.63,US,1660208377
118,Mataura,-46.1927,168.8643,31.01,97,2,3.36,NZ,1660208378
119,Hithadhoo,-0.6,73.0833,82.87,73,25,10.6,MV,1660208379
120,Samarai,-10.6167,150.6667,78.94,79,100,16.42,PG,1660208381
121,Manzini,-26.25,31.5,76.32,34,0,6.17,SZ,1660208382
122,Upernavik,72.7868,-56.1549,40.3,85,100,5.64,GL,1660208383
123,Kumul,42.8,93.45,105.87,11,6,10.07,CN,1660208383
124,Airai,-8.9266,125.4092,61.86,93,100,1.92,TL,1660208384
125,Saint George,37.1041,-113.5841,79.95,53,100,1.01,US,1660208385
126,Mayor Pablo Lagerenza,-19.9309,-60.7718,48.22,73,0,4.61,PY,1660208386
127,Zhigansk,66.7697,123.3711,61.43,52,97,21.03,RU,1660207971
128,Shache,38.4167,77.2406,89.6,31,70,0.58,CN,1660208389
129,Port Blair,11.6667,92.75,86.04,70,75,16.11,IN,1660208390
130,Kostomuksha,64.571,30.5767,69.22,63,100,15.35,RU,1660208390
131,Scottsbluff,41.8666,-103.6672,76.28,50,1,7.0,US,1660208391
132,Isla Mujeres,21.2311,-86.731,80.92,86,98,9.51,MX,1660208392
